outcome_type,family,tumor_type,endpoint,p_permutation,q_value,q_value_global,q_value_outcome_wide,q_value_atlas_wide,tier
continuous,rna_pathway_activity,THCA,HALLMARK_KRAS_SIGNALING_UP,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,GBM,HALLMARK_COAGULATION,0.001,0.00371428571428572,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,SARC,HALLMARK_ALLOGRAFT_REJECTION,0.001,0.00216666666666667,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,THCA,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.001,0.00173333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,OV,HALLMARK_ESTROGEN_RESPONSE_LATE,0.001,0.00433333333333333,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LIHC,HALLMARK_E2F_TARGETS,0.001,0.0013,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,ACC,HALLMARK_INFLAMMATORY_RESPONSE,0.001,0.00305882352941176,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_COMPLEMENT,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,KIRC,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.001,0.00236363636363636,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,PAAD,HALLMARK_INFLAMMATORY_RESPONSE,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,BLCA,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.001,0.00192592592592593,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,STAD,HALLMARK_MTORC1_SIGNALING,0.001,0.00288888888888889,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,TGCT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.001,0.00106122448979592,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,LUAD,HALLMARK_MTORC1_SIGNALING,0.001,0.00236363636363636,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
continuous,rna_pathway_activity,ACC,HALLMARK_BILE_ACID_METABOLISM,0.001,0.00305882352941176,0.00298279158699809,0.00417631578947368,0.00428925619834711,A
