outcome_type,family,subfamily,tumor_type,endpoint,source,primary_best_foundation_model,alternative_partitions,primary_winner_repeat_count,primary_winner_repeat_proportion,modal_repeat_winner,modal_repeat_winner_count,modal_repeat_winner_proportion,modal_repeat_winner_tied
binary,driver_mutation,Bailey_tissue_specific_driver,PRAD,TP53,TCGA_MC3_Bailey2018,GigaSSL,5,1,0.2,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,READ,APC,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,READ,KRAS,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,ProvGigaPath,2,0.4,TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,READ,TP53,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,ATRX,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,RB1,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,SARC,TP53,TCGA_MC3_Bailey2018,ProvGigaPath,5,2,0.4,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,SKCM,BRAF,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,APC,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,ARID1A,TCGA_MC3_Bailey2018,TITAN,5,2,0.4,GigaSSL,2,0.4,TRUE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,ARID2,TCGA_MC3_Bailey2018,TITAN,5,3,0.6,TITAN,3,0.6,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,BCOR,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,CDH1,TCGA_MC3_Bailey2018,TITAN,5,4,0.8,TITAN,4,0.8,FALSE
binary,driver_mutation,Bailey_tissue_specific_driver,STAD,CTNNB1,TCGA_MC3_Bailey2018,TITAN,5,5,1,TITAN,5,1,FALSE
