family,tumor_type,endpoint,n,mean_pool_q2,median_pool_q2,delta_median_minus_mean,seed
rna_pathway_activity,THYM,HALLMARK_MYOGENESIS,117,0.276940167688192,0.27770732730325,0.000767159615057966,20263657
rna_pathway_activity,CESC,HALLMARK_INFLAMMATORY_RESPONSE,267,0.276862876023981,0.276760050318572,-0.000102825705408705,20261207
rna_pathway_activity,TGCT,HALLMARK_PI3K_AKT_MTOR_SIGNALING,149,0.276423847236508,0.27927159073058,0.00284774349407219,20263452
rna_pathway_activity,THCA,HALLMARK_NOTCH_SIGNALING,503,0.275829835386101,0.275992772827532,0.000162937441431421,20263554
rna_pathway_activity,LGG,HALLMARK_INTERFERON_GAMMA_RESPONSE,490,0.275822438766063,0.274993203142962,-0.000829235623101276,20262053
rna_pathway_activity,LUSC,HALLMARK_P53_PATHWAY,475,0.27559968873057,0.275699511739935,9.98230093647856e-05,20262386
rna_pathway_activity,LIHC,HALLMARK_MITOTIC_SPINDLE,358,0.27559648178219,0.27559648178219,0,20262163
rna_pathway_activity,BRCA,HALLMARK_APOPTOSIS,1052,0.2753182140459,0.277031105108875,0.00171289106297506,20261081
rna_pathway_activity,PCPG,HALLMARK_IL2_STAT5_SIGNALING,176,0.274445394207092,0.274445394207092,-2.22044604925031e-16,20262791
rna_pathway_activity,OV,HALLMARK_COAGULATION,69,0.274068928981259,0.274068928981259,4.44089209850063e-16,20262567
rna_pathway_activity,THCA,HALLMARK_PANCREAS_BETA_CELLS,503,0.27395577578177,0.273979499522091,2.37237403207802e-05,20263557
rna_pathway_activity,THYM,HALLMARK_UV_RESPONSE_UP,117,0.272809796429225,0.270918488985188,-0.00189130744403698,20263671
rna_pathway_activity,LGG,HALLMARK_XENOBIOTIC_METABOLISM,490,0.272732925716951,0.263381889171892,-0.00935103654505892,20262076
rna_pathway_activity,LUSC,HALLMARK_SPERMATOGENESIS,475,0.272403502015283,0.27242207503399,1.85730187067246e-05,20262392
rna_pathway_activity,BLCA,HALLMARK_ESTROGEN_RESPONSE_LATE,382,0.271188478745194,0.271362508307722,0.000174029562528155,20260982
rna_pathway_activity,KIRC,HALLMARK_TNFA_SIGNALING_VIA_NFKB,510,0.271036373256202,0.271030744606883,-5.62864931885621e-06,20261860
rna_pathway_activity,LUAD,HALLMARK_PI3K_AKT_MTOR_SIGNALING,462,0.271031841734184,0.270549357009536,-0.00048248472464768,20262281
rna_pathway_activity,UCS,HALLMARK_MYOGENESIS,53,0.270413045752666,0.10897605202275,-0.161436993729917,20263864
rna_pathway_activity,GBM,HALLMARK_TNFA_SIGNALING_VIA_NFKB,96,0.269994820835171,0.276415348134822,0.00642052729965104,20261545
rna_pathway_activity,ACC,HALLMARK_IL2_STAT5_SIGNALING,55,0.269987886138329,0.285192063528679,0.0152041773903496,20260881
rna_pathway_activity,THYM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,117,0.269648349946719,0.268861090666345,-0.000787259280373764,20263632
rna_pathway_activity,LGG,HALLMARK_BILE_ACID_METABOLISM,490,0.269062676412576,0.263963697415213,-0.00509897899736256,20262034
rna_pathway_activity,MESO,HALLMARK_IL6_JAK_STAT3_SIGNALING,75,0.268796625339009,0.269065006299652,0.000268380960643244,20262476
rna_pathway_activity,TGCT,HALLMARK_INTERFERON_ALPHA_RESPONSE,149,0.267637858708389,0.236003612729653,-0.0316342459787363,20263438
rna_pathway_activity,HNSC,HALLMARK_E2F_TARGETS,442,0.26724363340126,0.267273209797166,2.95763959059503e-05,20261620
rna_pathway_activity,THYM,HALLMARK_HEDGEHOG_SIGNALING,117,0.26666671436717,0.264652529961091,-0.00201418440607931,20263643
rna_pathway_activity,STAD,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,354,0.266355658219209,0.266355658219208,-6.10622663543836e-16,20263351
rna_pathway_activity,OV,HALLMARK_ANDROGEN_RESPONSE,69,0.265497673204521,0.265497673204521,-1.11022302462516e-16,20262560
rna_pathway_activity,THYM,HALLMARK_ESTROGEN_RESPONSE_LATE,117,0.265431125528161,0.295041595275342,0.029610469747181,20263639
rna_pathway_activity,LIHC,GOBP_VITAMIN_B6_METABOLIC_PROCESS,358,0.265112586770912,0.265112586770912,-3.33066907387547e-16,20262133
rna_pathway_activity,BRCA,HALLMARK_COAGULATION,1052,0.264533423717037,0.264462809194494,-7.06145225430332e-05,20261084
rna_pathway_activity,BRCA,HALLMARK_NOTCH_SIGNALING,1052,0.264187309543399,0.263578564112552,-0.000608745430846769,20261109
rna_pathway_activity,LGG,HALLMARK_MTORC1_SIGNALING,490,0.263882984487193,0.259447164964693,-0.00443581952249955,20262057
rna_pathway_activity,OV,HALLMARK_HYPOXIA,69,0.263595821604311,0.263595821604311,-2.77555756156289e-16,20262579
rna_pathway_activity,THYM,HALLMARK_TNFA_SIGNALING_VIA_NFKB,117,0.263025231192948,0.263279074256572,0.000253843063624137,20263668
rna_pathway_activity,THYM,HALLMARK_KRAS_SIGNALING_DN,117,0.262196467254906,0.246320375287473,-0.0158760919674333,20263651
rna_pathway_activity,THYM,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,117,0.261760963065318,0.26345510824278,0.00169414517746186,20263637
rna_pathway_activity,LUSC,HALLMARK_ALLOGRAFT_REJECTION,475,0.261485610050272,0.261211429530213,-0.000274180520059397,20262351
rna_pathway_activity,BRCA,HALLMARK_UV_RESPONSE_UP,1052,0.260586039611741,0.260369331742915,-0.000216707868825772,20261122
rna_pathway_activity,ACC,HALLMARK_MYC_TARGETS_V2,55,0.260414312652413,0.306114792844302,0.0457004801918886,20260891
