grouped_job_id,outer_fold,test_n,training_n,test_codes,training_codes,test_positive,test_negative,training_positive,training_negative,single_class_test
106,1,201,164,6,16,21,180,14,150,FALSE
106,2,71,294,4,18,4,67,31,263,FALSE
106,3,12,353,4,18,2,10,33,320,FALSE
106,4,50,315,4,18,7,43,28,287,FALSE
106,5,31,334,4,18,1,30,34,300,FALSE
107,1,24,341,6,16,2,22,19,322,FALSE
107,2,13,352,4,18,0,13,21,331,TRUE
107,3,152,213,4,18,6,146,15,198,FALSE
107,4,94,271,4,18,5,89,16,255,FALSE
107,5,82,283,4,18,8,74,13,270,FALSE
108,1,30,335,6,16,4,26,43,292,FALSE
108,2,50,315,4,18,10,40,37,278,FALSE
108,3,130,235,4,18,19,111,28,207,FALSE
108,4,49,316,4,18,4,45,43,273,FALSE
108,5,106,259,4,18,10,96,37,222,FALSE
109,1,202,163,5,17,20,182,9,154,FALSE
109,2,43,322,5,17,4,39,25,297,FALSE
109,3,57,308,5,17,4,53,25,283,FALSE
109,4,18,347,4,18,0,18,29,318,TRUE
109,5,45,320,3,19,1,44,28,292,FALSE
