foundation_model,outcome_type,family,endpoint,source,eligible_cancers,retained_cancers,retained_cancer_percent,retained_cancer_codes
TITAN,binary,driver_mutation,NOTCH1,TCGA_MC3_Bailey2018,3,1,33.3333333333333,LGG
GigaSSL,binary,driver_mutation,NRAS,TCGA_MC3_Bailey2018,1,1,100,THCA
ProvGigaPath,binary,driver_mutation,NRAS,TCGA_MC3_Bailey2018,1,1,100,THCA
TITAN,binary,driver_mutation,NRAS,TCGA_MC3_Bailey2018,1,1,100,THCA
GigaSSL,binary,driver_mutation,NSD1,TCGA_MC3_Bailey2018,1,1,100,HNSC
ProvGigaPath,binary,driver_mutation,NSD1,TCGA_MC3_Bailey2018,1,1,100,HNSC
TITAN,binary,driver_mutation,NSD1,TCGA_MC3_Bailey2018,1,1,100,HNSC
GigaSSL,binary,driver_mutation,PBRM1,TCGA_MC3_Bailey2018,2,1,50,KIRC
ProvGigaPath,binary,driver_mutation,PBRM1,TCGA_MC3_Bailey2018,2,2,100,KIRC;UCEC
TITAN,binary,driver_mutation,PBRM1,TCGA_MC3_Bailey2018,2,2,100,KIRC;UCEC
GigaSSL,binary,driver_mutation,PDS5B,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,PDS5B,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,PDS5B,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,PIK3CA,TCGA_MC3_Bailey2018,10,2,20,COAD;STAD
ProvGigaPath,binary,driver_mutation,PIK3CA,TCGA_MC3_Bailey2018,10,3,30,COAD;LGG;STAD
TITAN,binary,driver_mutation,PIK3CA,TCGA_MC3_Bailey2018,10,3,30,BLCA;LUAD;STAD
GigaSSL,binary,driver_mutation,PIK3R1,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,PIK3R1,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,PIK3R1,TCGA_MC3_Bailey2018,2,0,0,""
GigaSSL,binary,driver_mutation,PPP2R1A,TCGA_MC3_Bailey2018,1,1,100,UCEC
ProvGigaPath,binary,driver_mutation,PPP2R1A,TCGA_MC3_Bailey2018,1,1,100,UCEC
TITAN,binary,driver_mutation,PPP2R1A,TCGA_MC3_Bailey2018,1,1,100,UCEC
GigaSSL,binary,driver_mutation,PTEN,TCGA_MC3_Bailey2018,5,3,60,LGG;STAD;UCEC
ProvGigaPath,binary,driver_mutation,PTEN,TCGA_MC3_Bailey2018,5,2,40,LGG;UCEC
TITAN,binary,driver_mutation,PTEN,TCGA_MC3_Bailey2018,5,3,60,GBM;LGG;UCEC
GigaSSL,binary,driver_mutation,RASA1,TCGA_MC3_Bailey2018,2,0,0,""
ProvGigaPath,binary,driver_mutation,RASA1,TCGA_MC3_Bailey2018,2,0,0,""
TITAN,binary,driver_mutation,RASA1,TCGA_MC3_Bailey2018,2,2,100,LUSC;STAD
GigaSSL,binary,driver_mutation,RB1,TCGA_MC3_Bailey2018,5,2,40,BLCA;SARC
ProvGigaPath,binary,driver_mutation,RB1,TCGA_MC3_Bailey2018,5,2,40,BLCA;SARC
TITAN,binary,driver_mutation,RB1,TCGA_MC3_Bailey2018,5,3,60,BLCA;SARC;UCEC
GigaSSL,binary,driver_mutation,RBM10,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,RBM10,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,RBM10,TCGA_MC3_Bailey2018,1,0,0,""
GigaSSL,binary,driver_mutation,RHOA,TCGA_MC3_Bailey2018,1,1,100,STAD
ProvGigaPath,binary,driver_mutation,RHOA,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,RHOA,TCGA_MC3_Bailey2018,1,1,100,STAD
GigaSSL,binary,driver_mutation,RHOB,TCGA_MC3_Bailey2018,1,0,0,""
ProvGigaPath,binary,driver_mutation,RHOB,TCGA_MC3_Bailey2018,1,0,0,""
TITAN,binary,driver_mutation,RHOB,TCGA_MC3_Bailey2018,1,0,0,""
