family,tumor_type,endpoint,repeat,training_fraction,sensitivity,specificity,balanced_accuracy,auc,pr_auc,ppv_tcga_prevalence,npv_tcga_prevalence,observed_tcga_prevalence
fusion,SARC,Any called fusion,3,0.5,0.902777777777778,0.194444444444444,0.548611111111111,0.59156378600823,0.884360179215335,0.870535714285714,0.25,0.857142857142857
fusion,SARC,Any called fusion,4,0.5,0.847222222222222,0.305555555555556,0.576388888888889,0.570859053497942,0.879395684651294,0.879807692307692,0.25,0.857142857142857
fusion,SARC,Any called fusion,5,0.5,0.824074074074074,0.166666666666667,0.49537037037037,0.503729423868313,0.871361051543006,0.855769230769231,0.136363636363636,0.857142857142857
fusion,SARC,Any called fusion,1,0.75,0.87962962962963,0.25,0.564814814814815,0.659593621399177,0.91410579743649,0.875576036866359,0.257142857142857,0.857142857142857
fusion,SARC,Any called fusion,2,0.75,0.842592592592593,0.222222222222222,0.532407407407407,0.585905349794239,0.894591734774219,0.866666666666667,0.19047619047619,0.857142857142857
fusion,SARC,Any called fusion,3,0.75,0.875,0.138888888888889,0.506944444444445,0.492412551440329,0.857827935530117,0.859090909090909,0.15625,0.857142857142857
fusion,SARC,Any called fusion,4,0.75,0.856481481481482,0.194444444444444,0.525462962962963,0.553112139917696,0.878016172371649,0.864485981308411,0.184210526315789,0.857142857142857
fusion,SARC,Any called fusion,5,0.75,0.861111111111111,0.305555555555556,0.583333333333333,0.628215020576132,0.899183993500149,0.881516587677725,0.268292682926829,0.857142857142857
fusion,SARC,Any called fusion,1,1,0.847222222222222,0.333333333333333,0.590277777777778,0.679655349794239,0.919599973513947,0.884057971014493,0.266666666666667,0.857142857142857
fusion,SARC,Any called fusion,2,1,0.893518518518519,0.194444444444444,0.543981481481481,0.660108024691358,0.914961687409903,0.869369369369369,0.233333333333333,0.857142857142857
fusion,SARC,Any called fusion,3,1,0.902777777777778,0.25,0.576388888888889,0.60326646090535,0.891873309128998,0.878378378378378,0.3,0.857142857142857
fusion,SARC,Any called fusion,4,1,0.851851851851852,0.361111111111111,0.606481481481482,0.63695987654321,0.907934553699543,0.888888888888889,0.288888888888889,0.857142857142857
fusion,SARC,Any called fusion,5,1,0.893518518518519,0.361111111111111,0.627314814814815,0.638117283950617,0.903916770599892,0.893518518518519,0.361111111111111,0.857142857142857
fusion,THCA,Fusion pair: CCDC6--RET,1,0.5,0.238095238095238,0.972972972972973,0.605534105534106,0.726264726264726,0.207507539630025,0.277777777777778,0.966942148760331,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,2,0.5,0.19047619047619,0.981288981288981,0.585882585882586,0.756162756162756,0.266206018716926,0.307692307692308,0.965235173824131,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,3,0.5,0.285714285714286,0.987525987525988,0.636620136620137,0.737352737352737,0.281927755899326,0.5,0.969387755102041,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,4,0.5,0.142857142857143,0.981288981288981,0.562073062073062,0.754776754776755,0.190734630196352,0.25,0.963265306122449,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,5,0.5,0.142857142857143,0.985446985446985,0.564152064152064,0.763092763092763,0.22442227072043,0.3,0.963414634146341,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,1,0.75,0.238095238095238,0.985446985446985,0.611771111771112,0.731313731313731,0.232590602981933,0.416666666666667,0.96734693877551,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,2,0.75,0.238095238095238,0.98960498960499,0.613850113850114,0.804177804177804,0.397559079726239,0.5,0.967479674796748,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,3,0.75,0.238095238095238,0.985446985446985,0.611771111771112,0.686169686169686,0.264603540042402,0.416666666666667,0.96734693877551,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,4,0.75,0.380952380952381,0.966735966735967,0.673844173844174,0.778140778140778,0.327144747074773,0.333333333333333,0.972803347280335,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,5,0.75,0.238095238095238,0.979209979209979,0.608652608652609,0.844866844866845,0.279543398074055,0.333333333333333,0.967145790554415,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,1,1,0.285714285714286,0.977130977130977,0.631422631422631,0.766854766854767,0.330412398179999,0.352941176470588,0.969072164948454,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,2,1,0.428571428571429,0.985446985446985,0.707009207009207,0.851796851796852,0.49472503352796,0.5625,0.975308641975309,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,3,1,0.285714285714286,0.979209979209979,0.632462132462132,0.803088803088803,0.330824046164567,0.375,0.969135802469136,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,4,1,0.333333333333333,0.972972972972973,0.653153153153153,0.803088803088803,0.298793238433066,0.35,0.970954356846473,0.0418326693227092
fusion,THCA,Fusion pair: CCDC6--RET,5,1,0.476190476190476,0.983367983367983,0.72977922977923,0.851400851400851,0.489094103820406,0.555555555555556,0.977272727272727,0.0418326693227092
oncogenic_pathway,ACC,WNT,1,0.5,0.8,0.636363636363636,0.718181818181818,0.740909090909091,0.586443465664343,0.571428571428571,0.84,0.377358490566038
oncogenic_pathway,ACC,WNT,2,0.5,0.55,0.666666666666667,0.608333333333333,0.709090909090909,0.60587070043784,0.5,0.709677419354839,0.377358490566038
oncogenic_pathway,ACC,WNT,3,0.5,0.65,0.757575757575758,0.703787878787879,0.731818181818182,0.598413580556233,0.619047619047619,0.78125,0.377358490566038
oncogenic_pathway,ACC,WNT,4,0.5,0.65,0.757575757575758,0.703787878787879,0.683333333333333,0.516799958174903,0.619047619047619,0.78125,0.377358490566038
oncogenic_pathway,ACC,WNT,5,0.5,0.6,0.727272727272727,0.663636363636364,0.766666666666667,0.663238272279221,0.571428571428571,0.75,0.377358490566038
