grouped_job_id,code_only_metric,code_prevalence_or_mean_range,n_codes
286,-0.247315665566475,0.684562950167467,5
287,-0.0287614847201807,0.995470919845897,5
288,-0.107673411913266,0.699293003943026,5
289,-0.046496261946521,1.30933051101546,5
290,-0.0941235098119466,1.23242886367853,5
291,-0.043319693520935,0.243114194031343,5
292,-0.0405276193762836,0.568905157700444,5
293,-0.0818265881636022,0.358611746622893,5
294,-0.0496097814649354,1.2747594162247,5
295,0.00110626518211498,1.18406599450114,33
296,0.070587681342142,1.23585642211989,33
297,0.0792755769861981,0.71228106132022,33
298,0.0694152868306078,0.536203951217972,33
299,0.0606295069822516,0.614668312164329,33
300,0.0525790933448229,0.868180479080954,33
301,0.0924474699848665,0.720398420136741,33
302,0.0105798318458923,1.37528564456146,33
303,0.144824635843987,1.59717716193758,33
304,0.0141602159534878,0.588358548716437,33
305,0.0454888331427897,0.622521514252226,33
306,0.0157017528284888,1.31256843395061,33
307,0.0350925629315483,0.741041576158879,33
308,0.00387192621369692,0.946245226983292,33
309,0.0471675703662162,1.13852154185068,33
310,-0.0697321338476147,1.35219735641304,33
311,-0.0268997017287436,1.27149007960933,33
312,0.0984678360426264,0.76687416557168,33
313,0.0165433169793826,0.583550726482158,33
314,0.00358384263560707,1.39732158825124,33
315,0.0754008595995707,0.837365023754044,33
316,-0.146945703842033,0.464567273261738,33
317,-0.0302413709512603,0.675548424055736,33
318,-0.0428971441761954,1.23279693882685,33
319,0.0224009950852104,0.552155270286114,33
320,0.0271893334000771,0.815862308493094,33
321,0.0452363538863013,0.418392440136124,33
322,-0.147157670388788,0.958730169808949,28
323,-0.0415163941515901,0.544994500382393,28
324,-0.09586397212813,0.703698703759125,28
325,-0.0812742229664443,0.861766796592855,28
326,-0.144149693892115,0.857443527246822,28
327,-0.191070603023196,2.17289012585978,28
328,-0.16083260682733,1.59730510474685,28
329,-0.0903041561212048,0.769383944211219,28
330,-0.128884996468484,0.573023352274955,28
331,-0.0576926413031247,1.31492762768626,28
332,0.0328603584228966,1.63503890928976,24
333,0.0844511325935265,1.27842476108798,24
334,0.0239049704262472,1.09428826148899,24
335,0.100265149267742,2.01176831415187,24
336,0.0514303421852138,1.93772114311083,24
337,-0.0292047697773588,2.25591328540824,24
338,-0.0121056913338875,2.02662999346011,24
339,0.0888542310806549,1.07022632011912,24
340,0.107457269872405,0.830319477044854,18
341,0.0214412608951007,0.461093338401556,18
342,-0.107236159104457,0.830719160742123,18
343,-0.0707246490291282,0.721009490973846,10
344,-0.145373310955253,0.479379568693053,10
345,-0.118252181603571,0.35328978814701,10
346,-0.136980980070365,0.29326951940468,10
347,-0.121049628928753,0.419345767780082,10
348,-0.0371994392806823,0.587176259260106,10
349,-0.043598055609174,0.390669793561616,10
350,-0.15807069722731,0.415211838534189,10
351,-0.0937740013684307,0.303588432906051,10
352,-0.0591580841626851,0.658459123012752,10
353,-0.05926746369881,0.563556397496674,10
354,-0.150820684233093,0.584426077578604,10
355,-0.0254747694684312,0.544392287488728,10
356,-0.0824035150423164,0.245404789273788,10
357,-0.155469948778407,0.326882402871346,10
358,-0.141682574044153,0.243508844773129,10
359,-0.0542454331576012,0.845136151410718,26
360,-0.037328525408838,1.26657379649136,26
361,-0.0246263558535418,1.13785667882452,26
